Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch
33,rajagiriya,10,per perch,"Commercial, Residential, Other",9/21/2021,8.66,1,1.756311158,7,0.641319411,0,2.032610277,1,0.708393832,1,0.549898445,5.213415717,1.3669029,0.064668268,9,0.459099609,2,1.512528257,1,0.842420119,3,0.120769144,3,0.050657848,13,2.104233363,0," 7,500,000.00 "," 7,500,000.00 "
6,battaramulla,10,per perch,"Commercial, Residential, Other",9/21/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 2,500,000.00 "," 2,500,000.00 "
12,nawala,15,per perch,"Commercial, Residential, Other",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 3,200,000.00 "," 3,200,000.00 "
13,dehiwala,30.9,per perch,"Commercial, Residential",9/21/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 2,700,000.00 "," 2,700,000.00 "
5,piliyandala,6.5,total price,"Commercial, Residential",9/21/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 5,814,000.00 "," 894,461.54 "
11,madapatha,6.7,total price,"Commercial, Residential",9/21/2021,22.59,0,4.208843525,1,0.409900767,0,5.773967779,0,12.55411195,0,4.731446487,5.842113383,5.025225136,3.189759435,0,3.70997153,0,5.134437985,0,3.907407861,0,4.290938801,0,3.053364406,0,3.525063347,0," 6,075,500.00 "," 906,791.04 "
4,kesbewa,6.5,total price,"Commercial, Residential",9/21/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,811,000.00 "," 894,000.00 "
12,nawala,8.3,per perch,Commercial,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 8,500,000.00 "," 8,500,000.00 "
2,makandana,6.7,total price,"Commercial, Residential",9/21/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 6,152,000.00 "," 918,208.96 "
19,boralesgamuwa,25,per perch,"Commercial, Residential, Other",9/21/2021,13.98,0,4.016690619,1,0.429338572,0,2.727912724,0,3.818288657,1,1.440497502,8.830429042,2.212403368,0.071858443,10,0.087264039,2,1.864090006,1,4.97374457,0,0.811285315,1,0.100746527,11,0.886448814,1," 1,350,000.00 "," 1,350,000.00 "
