5,piliyandala,6.0,per perch,Residential,8/30/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 900,000.00 "," 900,000.00 ",6.800902912712268,79.95032119043215,9,311,1,233,1,1671,0,0,11,455,3,2214,0,0,3,1162,5,698,1,114,0,0,4,394,20,23,10,1150,15,442,0,0,0,0,4,665,0,0,0,0
21,maharagama,10.0,total price,"Commercial, Residential",8/30/2021,15.34,0,4.222294805,4,0.369010476,1,0.382122379,0,5.026014326,0,2.696064051,6.132844101,0.105448493,0.204660942,10,0.286628589,4,1.451908281,1,2.904116106,0,3.275002357,0,0.52902818,12,0.218559789,3," 18,500,000.00 "," 1,850,000.00 ",6.862591184119309,79.92569400129423,20,966,8,1315,5,1154,0,0,20,20,6,202,0,0,4,905,20,513,3,1203,0,0,3,1219,20,22,13,2158,20,27,0,0,1,356,10,175,2,869,1,1760
6,battaramulla,12.0,per perch,Residential,8/30/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 1,500,000.00 "," 1,500,000.00 ",6.903237039502807,79.92206589825905,20,13,18,107,3,428,1,627,20,102,11,809,3,1256,12,595,20,251,10,238,0,0,10,115,20,92,20,94,20,149,4,1387,5,219,11,57,0,0,3,536
14,kahathuduwa,6.5,total price,Residential,8/30/2021,24.82,0,6.507930948,1,1.74454569,0,6.616528036,0,13.66352112,0,5.090707489,0.409507119,6.811585774,0.031648336,2,6.398816771,0,1.163402046,1,6.806019692,0,6.468764411,0,3.055274365,0,5.118456884,0," 2,800,000.00 "," 430,769.23 ",6.7879765737241335,80.00519754119682,2,1876,0,0,0,0,0,0,2,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026,1,1181,1,1008,0,0,0,0,0,0,0,0,0,0
19,boralesgamuwa,20.0,total price,Residential,8/30/2021,13.98,0,4.016690619,1,0.429338572,0,2.727912724,0,3.818288657,1,1.440497502,8.830429042,2.212403368,0.071858443,10,0.087264039,2,1.864090006,1,4.97374457,0,0.811285315,1,0.100746527,11,0.886448814,1," 31,000,000.00 "," 1,550,000.00 ",6.8266396503525,79.91811614688712,20,422,4,332,1,1083,9,1802,20,524,4,182,2,1945,5,652,14,264,0,0,0,0,3,1637,20,103,16,392,20,632,0,0,1,2005,4,1906,1,1487,1,1050
11,madapatha,60.0,per perch,Residential,8/30/2021,22.59,0,4.208843525,1,0.409900767,0,5.773967779,0,12.55411195,0,4.731446487,5.842113383,5.025225136,3.189759435,0,3.70997153,0,5.134437985,0,3.907407861,0,4.290938801,0,3.053364406,0,3.525063347,0," 660,000.00 "," 660,000.00 ",6.763345390241728,79.92677740590824,8,276,0,0,0,0,11,1256,7,976,5,920,1,934,1,1179,3,328,0,0,0,0,1,1319,20,276,3,447,12,582,0,0,1,828,2,734,0,0,0,0
6,battaramulla,10.0,per perch,Residential,8/30/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 2,250,000.00 "," 2,250,000.00 ",6.903913586939727,79.92166202568862,20,176,18,82,3,350,1,549,20,87,12,620,3,1067,12,699,19,173,10,151,0,0,10,73,20,23,20,94,20,40,4,1199,4,140,11,162,0,0,3,458
3,kaduwela,7.3,per perch,Residential,8/30/2021,17.66,0,10.99800654,2,0.686801718,0,10.30164488,0,3.09405539,0,2.766675534,1.341754436,9.982145833,0.351838973,8,0.25650097,5,4.96489541,0,8.245114297,0,0.271561131,1,0.22296895,5,0.044349224,1," 430,000.00 "," 430,000.00 ",6.938797747745143,79.98277245939133,20,3134,12,2744,3,3498,1,1755,20,1807,3,3507,4,2732,9,2756,9,1881,0,0,0,0,12,1810,20,1881,20,75,20,1769,0,0,2,1896,11,1792,2,1725,1,1815
13,dehiwala,15.0,per perch,"Commercial, Residential",8/30/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 3,850,000.00 "," 3,850,000.00 ",6.852307524236094,79.86449734570037,20,229,16,424,5,1675,0,0,20,427,20,3,3,425,14,458,20,283,20,176,1,433,14,458,20,144,20,228,20,283,1,968,4,381,17,283,1,1116,2,1523
19,boralesgamuwa,8.0,total price,Residential,8/30/2021,13.98,0,4.016690619,1,0.429338572,0,2.727912724,0,3.818288657,1,1.440497502,8.830429042,2.212403368,0.071858443,10,0.087264039,2,1.864090006,1,4.97374457,0,0.811285315,1,0.100746527,11,0.886448814,1," 13,500,000.00 "," 1,687,500.00 ",6.849905013992822,79.89428123131718,20,43,4,803,3,384,1,717,20,633,7,94,3,607,9,595,11,867,13,690,0,0,3,518,20,6,20,541,20,284,0,0,3,265,10,654,0,0,0,0
2,makandana,30.5,per perch,Commercial,8/30/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 600,000.00 "," 600,000.00 ",6.773113346343752,79.95219050047086,10,189,1,937,1,550,12,212,7,505,3,554,0,0,1,2913,4,3441,1,2046,0,0,1,1358,20,189,7,505,10,597,0,0,1,505,3,1162,0,0,0,0
13,dehiwala,4.0,per perch,Commercial,8/30/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 6,000,000.00 "," 6,000,000.00 ",6.852200042312711,79.86453181654889,20,235,16,402,5,1653,0,0,20,36,20,460,3,725,14,6,20,180,20,288,1,376,14,5,20,320,20,236,20,180,1,946,4,83,17,180,1,1416,2,1823
14,kahathuduwa,13.0,total price,"Commercial, Residential, Other",8/30/2021,24.82,0,6.507930948,1,1.74454569,0,6.616528036,0,13.66352112,0,5.090707489,0.409507119,6.811585774,0.031648336,2,6.398816771,0,1.163402046,1,6.806019692,0,6.468764411,0,3.055274365,0,5.118456884,0," 12,000,000.00 "," 923,076.92 ",6.78349146442042,79.99868390709743,4,49,0,0,1,3315,0,0,8,289,0,0,0,0,1,3046,3,2896,0,0,0,0,0,0,20,49,0,0,5,3262,0,0,0,0,0,0,0,0,0,0
4,kesbewa,6.7,total price,"Commercial, Residential",8/30/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,935,000.00 "," 885,820.90 ",6.767380660156863,79.93626439250387,11,1240,0,0,1,1106,16,1733,14,591,3,1179,1,816,3,1439,7,1183,0,0,0,0,1,1154,20,337,7,1068,12,377,0,0,1,921,2,1015,0,0,0,0
7,malabe,16.0,per perch,Commercial,8/30/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 2,500,000.00 "," 2,500,000.00 ",6.904101520704979,79.9496899974873,20,273,16,292,2,393,0,0,20,150,10,240,2,224,8,168,11,732,1,864,0,0,13,463,20,153,20,270,20,164,0,0,1,599,8,394,1,827,1,154
14,kahathuduwa,28.0,per perch,Residential,8/30/2021,24.82,0,6.507930948,1,1.74454569,0,6.616528036,0,13.66352112,0,5.090707489,0.409507119,6.811585774,0.031648336,2,6.398816771,0,1.163402046,1,6.806019692,0,6.468764411,0,3.055274365,0,5.118456884,0," 750,000.00 "," 750,000.00 ",6.775388841661825,79.97993306859283,4,3142,4,2922,0,0,0,0,1,1353,2,2587,0,0,0,0,2,1540,0,0,0,0,2,2405,20,2405,4,2996,8,2906,0,0,0,0,1,1410,0,0,0,0
